Theta;I
30.3600;64
30.3800;76
30.4000;58
30.4200;68
30.4400;54
30.4600;66
30.4800;78
30.5000;78
30.5200;56
30.5400;58
30.5600;58
30.5800;66
30.6000;62
30.6200;64
30.6400;66
30.6600;60
30.6800;54
30.7000;62
30.7200;62
30.7400;50
30.7600;58
30.7800;56
30.8000;60
30.8200;68
30.8400;52
30.8600;60
30.8800;62
30.9000;60
30.9200;64
30.9400;56
30.9600;60
30.9800;66
31.0000;48
31.0200;72
31.0400;66
31.0600;58
31.0800;72
31.1000;46
31.1200;58
31.1400;62
31.1600;66
31.1800;48
31.2000;66
31.2200;74
31.2400;48
31.2600;62
31.2800;58
31.3000;54
31.3200;76
31.3400;58
31.3600;66
31.3800;74
31.4000;56
31.4200;48
31.4400;60
31.4600;46
31.4800;58
31.5000;66
31.5200;54
31.5400;62
31.5600;58
31.5800;58
31.6000;58
31.6200;54
31.6400;56
31.6600;58
31.6800;54
31.7000;52
31.7200;44
31.7400;62
31.7600;60
31.7800;64
31.8000;66
31.8200;48
31.8400;58
31.8600;60
31.8800;66
31.9000;46
31.9200;50
31.9400;54
31.9600;62
31.9800;66
32.0000;60
32.0200;42
32.0400;54
32.0600;54
32.0800;62
32.1000;58
32.1200;60
32.1400;50
32.1600;56
32.1800;54
32.2000;42
32.2200;50
32.2400;62
32.2600;66
32.2800;56
32.3000;56
32.3200;56
32.3400;52
32.3600;58
32.3800;52
32.4000;64
32.4200;66
32.4400;54
32.4600;50
32.4800;66
32.5000;60
32.5200;60
32.5400;56
32.5600;48
32.5800;54
32.6000;62
32.6200;60
32.6400;56
32.6600;52
32.6800;52
32.7000;56
32.7200;56
32.7400;56
32.7600;54
32.7800;50
32.8000;66
32.8200;46
32.8400;50
32.8600;76
32.8800;50
32.9000;60
32.9200;48
32.9400;56
32.9600;44
32.9800;52
33.0000;52
33.0200;56
33.0400;68
33.0600;62
33.0800;48
33.1000;56
33.1200;64
33.1400;72
33.1600;52
33.1800;58
33.2000;70
33.2200;50
33.2400;72
